,A375_SKIN,A549_LUNG,HEPG2_LIVER,HT29_LARGE_INTESTINE,MCF7_BREAST,PC3_PROSTATE,YAPC_PANCREAS
NDUFS1,61.76,71.72,88.51,75.76,99.04,41.41,55.76
RB1CC1,14.82,18.34,11.42,10.64,10.11,3.51,22.34
ERP44,12.11,14.66,10.46,12.62,16.82,8.34,22.01
ALAS1,62.25,49.3,24.07,24.77,15.47,36.65,19.73
BIRC3,0.46,26.12,0.81,1.25,0.06,3.37,12.89
AKAP11,10.92,8.12,3.52,9.54,6.83,2.34,11.26
GLRX2,55.53,45.55,12.49,21.43,33.53,17.07,11.5
SNAPC1,22.35,17.2,3.76,1.98,5.15,39.1,12.4
DERA,33.78,48.36,33.88,34,16.55,18.23,43.38
STRAP,209.08,236.28,69.69,133.06,93.06,53.04,68.11
ABCC2,11.43,98.44,74.33,0.17,0.64,0.11,0.97
DEF6,0.21,0.08,5.73,1.18,8.7,13.45,9.1
PLEKHO1,13.52,4.72,6.68,0.5,2.36,6.33,4.14
GCLM,11.72,75.35,8.03,8.34,4.06,10.32,8.5
UBR2,7.37,5.49,8.3,6.48,9.89,5.85,37.79
EHD2,22.37,56.86,0.22,14.77,1.56,0.18,2.08
DEPDC1,20.75,19.08,5.34,10.81,9.55,18.27,14.57
CCDC28A,14.61,6.95,7.15,17.57,7.49,5.07,15.73
RRAGD,6.2,1.06,0.27,0,1.23,0.29,2.95
HSF2,9.51,7.45,8.79,7.36,6.08,3.74,10.99
PHF20,11.98,10.69,8.66,12.82,8.75,8.36,19.63
HSD17B6,0.53,3.42,1.71,0.08,1.94,0.95,1.44
NR1H3,16.13,8.14,25.61,68.74,7.54,7.24,39.78
TYMP,0.52,2.96,2.66,0.78,0.7,6.13,5.34
NCAPH2,29.7,21.03,30.16,28.27,24.3,25.07,30.4
TOMM34,80.66,28.45,36.51,59.66,22.56,79.49,46.36
SEC63,20.25,22.99,31.96,21.29,38.27,20.78,28.35
KPNA6,21.32,14.69,12.37,14.67,14.73,13.34,17.46
VIM,1921.7,769.44,2.17,2.21,2.19,423.15,42.47
RTEL1-TNFRSF6B,3.82,1.42,3.39,3.19,10.87,3.98,4.31
FAS,7.09,14.13,5.21,1.88,2.41,2.39,8.99
RNASET2,5.59,10.27,188.45,121.75,56.59,18.48,43.05
CD44,458.82,125.17,0.95,279.96,47.19,238.54,180.67
KCNG1,36.02,4.22,0.02,0.01,0.97,13.17,3.52
AGPAT4,1.42,1.8,0.05,0.66,0.04,2.57,4.55
SLAMF7,0.41,0.7,0.01,0.02,0.01,0.68,1.08
BTN3A1,7,2.72,4.29,4.32,0.29,3.85,6.53
MIPEP,16.76,18.8,8.5,27.46,11.43,11.86,16.94
PRKCH,7.59,4.59,0.48,6.79,10.75,10.72,9.78
INSRR,0.01,0,0,0.02,0,0,0
IFNGR1,13.63,32.44,50.98,41.02,14.81,14.74,25.66
B4GALT7,17.88,10.49,16.21,13.62,29.41,21.97,21.77
SH2D2A,0.29,2.26,1.22,4.45,0.01,5.5,1.87
VRK2,15.11,35.79,11.78,14.75,12.99,14.45,15.35
TNFRSF1B,2.64,0.08,0.06,0.07,0.02,0.12,8.54
VEZT,28.34,120.66,16.43,23.91,31.96,55.11,45.03
POU2F2,0.19,0.18,0.17,2.75,0.26,0.9,0.81
BRD9,42.22,22.11,14.23,62.4,73.84,31.13,60.99
SNX1,98.98,59.09,47.94,63.57,79.82,28.8,92.78
TBPL1,40.19,22.23,21.87,23.52,16.55,15.74,26.96
ARNTL2,2.58,16.81,7.03,16.07,1.26,55.43,23.19
BCLAF1,64.79,57.26,45.22,50.62,59.46,37.16,47.87
SLC39A9,27.96,39.85,21.09,24.73,39.36,57.74,54.16
ANK1,0.32,0.71,0.11,0.33,0.38,0.23,3.69
IBSP,0,0.02,0,0,0.61,0,0.5
TFB1M,60.94,9.94,44.65,15.97,7.37,11.88,8.45
RABEP1,37.48,37.17,15.11,12.33,24.77,10.54,13.28
HMGB3,104.73,138.04,69.31,143.09,242.87,99.31,207.77
NUP160,47.68,32.63,22.6,35.72,28.96,13.26,25.99
BAK1,21.32,12.82,15.9,23.16,25.76,18.35,28.37
MUSK,0,0,0,0,0,0.02,0.1
IKZF2,1.26,0.1,0.23,1.52,0.8,0.56,8.41
GRN,111.74,83.06,167.54,187.88,193.44,341.24,160.33
FAM13B,9.97,11.44,4.64,9.44,10.62,7.29,17.9
ARHGAP31,6.42,0.49,0.02,0.04,0.11,1.99,0.36
CENPQ,12.15,10.67,9.11,8.73,7.88,8.77,13.8
SARS1,146.24,98.58,87.69,146.25,279.42,107.91,78.03
RANBP3,72.91,42.82,64,35.3,23.9,57.96,46.5
ARID4A,4.5,5.19,5.67,5.43,10.36,5.06,11.3
EIPR1,33.49,37.24,38.78,41.15,35.39,24.59,29.35
PNPLA6,42.3,24.76,15.2,13.55,9.72,90.72,16.9
IFT88,8.42,13.48,5.71,14.17,6.05,5.35,4.56
ALG1,31.63,31.26,52.05,30.4,23.31,24.16,66.05
ZCCHC8,18.88,26.76,13.32,20.9,21.16,13.76,22.43
ABCF2,56.15,59.31,20.43,52.3,33.28,38.83,27.59
CHPF2,24.85,15.23,20.17,21.76,17.58,15.3,20.88
LRRC7,0.17,0.04,0.02,0.14,0.03,0.11,0.04
FUT8,19.51,16.63,8.97,2.01,75.73,81.61,88.5
UBA6,28.03,16.81,13.03,23.14,15.7,35.75,24.6
GAB2,4.33,1.76,2.84,2.39,12.09,2.79,0.73
ATP6V0A1,23.65,28.12,19.85,21.47,31.95,0.12,16.98
PIAS1,21.61,23.02,13.22,23.45,17.35,8.63,22.23
SLC4A7,22.61,27.91,5.94,7.13,7.17,15.83,7.15
APBA2,12.37,6.92,0.92,0.03,0.71,10.72,4.75
MAP2K3,44.64,39.57,54.41,45.36,24.23,17.07,29.13
EFCAB1,0,0,0,0,0,0.14,16.66
TMSB10,2457.2,4355.6,910.16,5538.1,3377.4,3911.3,3912.6
ASTE1,5.3,3.84,2.73,2.94,3.65,2.6,4.72
RNF19A,11.66,23.59,10.56,9.36,23.7,16.16,32.82
PEX3,14.73,10.06,13.18,9.27,12.69,14.22,11.56
GABARAPL2,140.73,100.82,90.53,115.15,150.31,50.74,114.66
MYOC,0,0,0,0,0,0,0
SH3YL1,5.31,6.9,22.83,51.02,30.95,15.13,97.42
FAM136A,67.88,118.53,85.85,88.55,80.44,47.76,61.72
VCL,24.4,132.14,17.46,21.45,17.09,140.56,92.86
DEPDC1B,27.07,23.6,24.37,15.19,18.77,19.21,42.77
DAPK2,0.61,2.09,0.21,0.43,2.83,0.38,0.42
NSMAF,23.84,32.32,12.22,11.58,25.47,6.61,25.66
ADSS2,57.48,45.61,16.97,37.5,23.46,26.9,54.93
STAP1,0.02,0,0.02,0.03,0.02,0.01,0.03
TIMP2,41.04,114.67,20.52,7.73,7.15,68.36,87.59
RFC1,48.49,27.34,37.47,33.97,22.33,19.61,34.87
TBC1D23,16.18,13.63,10.33,11.24,12.66,17.79,11.88
CUL3,38.81,90.35,33.13,44.23,44.29,38.83,62.89
MYOM2,0.1,4.2,0,0,0,0,4.57
OTC,0,0,0.32,0.06,0,0,0
CYP46A1,0.01,0.05,0.02,0,0.49,0.24,0
ZZZ3,27.53,16.41,13.74,20.47,15.14,13.82,15.08
SLC18A1,0.23,0,0,0,0,0,0.03
USP2,0.47,0.74,5.6,0.46,0.86,0.8,3.35
CASR,0,0,0,0.01,0,0,0
TUBG2,17.98,10.76,15.95,6.75,17.09,3.85,14.39
RPL26L1,134.52,118.51,61.03,52.46,136.42,97.41,69.96
FLT4,0,1.86,0,0.01,0.37,0,0.68
NSUN2,110.93,104.71,48.42,84.76,97.5,68.16,115.79
FBXO42,6.71,3.43,3.51,6.84,6.71,5.3,7.08
MFAP3,21.65,17.46,9.18,9.35,15.6,7.66,20.52
MRI1,58.42,8.16,14.37,5.55,33.9,20,16.01
METTL1,41.08,43.91,24.96,31.13,54.37,24.61,18.7
HOXC8,5.07,3.47,0.04,0.66,0.23,0.99,0.77
AGA,52.23,17.81,24.75,16.51,60,31.19,21.12
PI4K2B,18.1,11.44,18.28,16.94,21.27,8.58,21.06
BOD1L1,37.16,15.71,11.84,17.69,12.45,10.95,22.03
MAT2B,63.2,53.07,20.67,49.6,35.11,26.02,96.6
TLL1,0.03,0.06,0,0,0,1.8,0.04
EDC4,56.79,36.47,43.2,42.08,62.59,18.63,50.74
TRIO,23.79,42.57,19.46,35.79,25.65,30.81,49.16
VCAN,1.49,11.47,2.54,0.49,0.04,7.12,1.26
CLEC16A,11.91,8.51,10.6,8.52,9.39,4.56,10.6
MSR1,3.79,0.02,0,0,0,0.06,0
CDH1,0.26,5.57,7.87,111.92,307.59,32.23,173.43
MTREX,76.51,44.95,32.42,46.99,39.68,23.95,53.59
DNAH5,0.19,0.46,0.04,0.98,0.31,0.42,0.89
ZFYVE16,13.03,18.57,7.73,8.96,10.16,4.54,13.53
RIPOR1,30.47,11.85,16.87,16.84,13.91,11.82,24.11
C6,0,0,0.18,0.13,0,0,0
RAI14,19.19,81.44,11.03,18.3,2.91,20.54,9.74
SOX30,0.01,0.02,0,0.25,0.02,0.21,0.19
PNKP,32.34,15.76,10.46,46.75,40.34,31.49,22.23
BEST2,0,0.02,0.01,0,0.02,0.14,0
PHLPP2,4.84,5.41,3.99,6.18,5.87,2.26,2.04
SPDL1,62.3,83.57,18.3,26.99,27.75,38.37,35.73
STAU2,15.1,28.15,11.66,20.59,24.86,23.01,29.74
SLC66A1,17.63,7.95,14.21,7.93,9.86,13.02,12.45
CTNS,12.33,11.3,9.8,4.83,8.02,9.5,5.4
RTN4R,1.55,1.57,0.36,10.27,3.8,4.6,6.13
PHF23,68.91,46.06,26.03,26.64,37.17,20.91,24.76
CDH10,0.12,0.21,0.07,0.02,0.01,0.02,0.06
INPP4A,6.03,6.73,5.42,4.25,7.62,4.59,19.06
RAB27B,0.92,5.44,0,2.75,2.41,5.69,3.3
PSMA4,431.86,537.19,181.69,434.84,615.39,147.85,332.95
MYO16,0.32,0.03,0,0,3.75,0.01,0.14
LSG1,27.56,34.15,11.18,30.55,45.42,29.25,34.55
PARP3,17.37,5.96,7.64,6.57,1.72,10.78,13.5
TNC,195.87,0.19,0.04,0.35,0.06,65.99,59.7
THAP3,13.08,11,7.97,10.89,9.5,20.39,6.96
RIPOR3,0.12,0.04,0.05,0.29,1.02,0.05,2.32
TDP1,11.92,11.35,12.22,9.23,24.58,19.21,29.15
AIFM2,10.6,23.72,27.67,18.34,16.66,13.25,29.01
C2orf83,0,0,0,0,0.01,0.01,0
SPATA7,1.06,4.01,1.76,1.11,4.13,2.43,11.28
MED17,28.45,22.07,11.15,14.84,9.77,15.66,53.54
RETSAT,28.15,27.23,36.4,22.29,26.68,53.41,36.36
CAPG,75.88,63.43,6.53,188.15,25.14,116.11,164.64
AP2S1,370.63,178.93,69.59,219.31,209.95,141,93.85
USH2A,0.03,0,0,0.02,0.02,0.01,0.01
ZPBP,0,0,0,0,0.02,0,0
TG,0.01,0.03,0,0.02,0.07,0.01,0.07
ADAM28,0.01,0.14,0,1.73,0.23,0.02,32.8
BARX2,0.45,0.01,0.01,10,7.5,0.14,19.63
DCUN1D1,12.65,20.47,5.33,11.14,14.59,15.82,29.11
JADE2,25.19,11.54,5.41,15.05,17.65,7.8,43.61
ZIC2,1.39,2.01,0.13,0.22,1.09,0.11,2.27
LCP2,1.01,0.05,0.01,0.06,0.02,0.01,1.39
TRIT1,28.79,18.47,12.34,21.37,11.93,19.39,38.26
ADRB1,0.26,0.57,0,0.45,0.16,0.08,0.88
GUCA2B,0,1.19,0,1.7,0,0,0
CUL7,11.01,3.92,25.03,9.64,17.38,5.25,39.85
CTNNA1,267.56,187.45,101.46,194.2,240.8,3.07,293.71
PHKA2,8.26,7.89,30.93,16.6,13.17,14.43,23.39
CNTLN,6.07,7.02,2.29,0.23,0.13,3.03,6.07
EPHA3,19.3,0,0.02,0,0.31,0.13,0.05
HSPA5,352.64,334.39,508.34,167.74,232.68,242.97,319.74
DSG2,15.45,42.82,26.28,28.75,11.69,27.16,67.7
GEMIN8,10.07,12.03,7.7,17.79,10.34,3.47,12.57
OFD1,17.82,9.13,5.65,16.63,11.72,10.89,35.01
GPM6B,0.29,0.21,0.22,0.26,0.3,0.43,0.92
MAGEC2,113.39,0.04,0.06,0.02,0.04,0.03,0.04
PREX2,0.02,0,0.02,0,0,0,0.16
WDR37,6.52,3.17,3.79,5.64,11.47,2.66,6.04
YTHDC2,11.84,14.35,7.58,8.72,10.99,6.32,18.37
CTPS2,8.17,10.14,9.87,8.81,9.16,7.16,9.66
ATP6V1H,34.31,31.23,22.41,24.11,50.63,9.4,39.53
POLR2B,104.03,63.94,42.55,58.56,48.14,74.91,70.93
FAM214A,9.84,7.98,6.67,9.55,31.49,2.42,12.83
ARAP2,1.7,0.2,0.23,3.77,0.73,1.43,5.97
TPR,49.04,37.77,20.59,28.87,27.13,15.6,28.73
CP,0.09,2.31,199.38,0.72,0.29,0.31,159.15
KATNIP,9.2,7.62,4.8,11.01,11.21,4.01,10.45
DTNBP1,12.08,7.76,12.16,10.35,19.52,9.53,6.47
XK,0.2,0.68,0.01,2.44,0.31,2.22,0.26
ANO2,0.14,0,0.04,0,0.07,0.08,0
C12orf4,13.45,14.56,3.03,8.04,6.03,5.83,4.46
SCML1,8.09,4.87,28.94,12.61,11.51,9.11,7.62
WWC3,4.5,15.05,4.35,0.99,9.32,5.29,16.38
ARHGAP6,0.49,0.07,0.03,0.14,0,0.62,0.01
FAM184B,0.15,0,0.01,0.01,0.09,0.15,0
MAP4,64.96,64.43,52.95,53.16,36.07,67.55,45.87
GOPC,11.46,22.85,18.59,11.85,13.98,8.22,24.77
ROS1,0.03,0.11,0,0.01,0,0.03,0.14
USP28,17.67,13.21,11.27,20.33,7.73,10.75,48.49
HDAC9,2.79,0.06,0.11,0.14,0.22,2.46,28.23
TSPAN17,15.96,29.68,9.97,20.73,41.56,36.36,49.15
NOP16,122.55,70.95,43.27,64.92,68.48,68.38,41.49
CC2D2A,13.04,11.87,2.17,1.88,2.44,6.48,10.26
RRM2B,14.81,22.66,8.22,5.32,28.71,10.53,14.08
ZNF800,11.36,6.01,3.01,7.27,5.36,4.23,9.89
TNFRSF17,0.1,0,0,0,0,0.08,0.22
SNX29,4.65,1.24,2.57,1.99,3.02,0.85,4.24
LMO3,0.01,0.22,0.01,0.17,0.11,0.22,0.19
MRPS10,23.96,39.47,26.67,33.4,35.09,42.69,179.3
GUCA1A,0,0,0,0,0.01,0,0
RSF1,22.38,16.21,10.47,19.81,16.52,12.71,28.52
VPS13D,11.66,6.76,5.93,7.28,9.64,8.94,12.07
CELF2,0.04,0.02,0.01,0.07,0.01,0,0.2
FAM120A,56.3,57.17,27.89,76.97,65.4,24.69,75.86
R3HDM1,17.22,23.33,22.57,22.36,21.47,14.15,17.55
COL9A2,11.35,0.1,21.02,0.06,0.55,0.85,1.48
KITLG,2.05,6.84,1.8,25.92,23.37,9.96,3.07
ERCC8,10.14,15.04,12.57,9.31,8.97,3.89,12.66
ADAMTS6,0.56,0.22,1.55,12.02,0.05,3.17,3.06
H6PD,9.37,2.42,9.74,5.31,4.72,1.99,17.04
VAMP3,59.07,57.26,46.46,58.5,35.12,45.52,45.4
PER3,1.27,1.15,1.93,3.27,4.34,2.07,2.95
UTS2,0.07,0,0,0,0,0.02,4.4
TNFRSF9,0.07,2.39,0.15,0.13,0,0.04,0.08
EPN3,0.15,0.29,0.69,15.65,38.79,9.35,31.07
LTBP1,1.33,21.73,0.14,1,10.69,68.74,8.21
RCN1,98.38,161.42,16.81,45,12.15,70.77,157.7
ELN,0.05,0.04,0.35,0.48,0,0.01,2.25
RFC2,71.78,51.89,28.2,52.45,60.05,51.49,70.26
ARID1B,10.97,6.65,13.95,12.52,6,4.33,17.17
CLPTM1L,122.14,173.54,53.1,152.27,145.97,121.06,167.09
NEDD4L,51.33,18.27,102.58,30.56,6.24,23.86,30.15
FOXP3,0.23,0.04,0.08,0.39,0.32,0.13,0.18
PPP1R3F,0.66,1.19,0.34,0.92,1.38,3.77,2.91
HEXB,88.37,82.21,63.2,76.26,125.15,60.89,121.2
PTCD2,13.07,14.44,2.98,5.58,6.51,3.43,8.58
NEXMIF,0,0,0,0,0.23,0,0
JKAMP,36.2,95.07,25.45,19.61,52.29,83.08,71.12
DKK3,7.2,12.87,0.25,0.19,0.3,0.23,85.58
ARHGEF5,0.39,1.57,0.76,20.01,8.21,5.97,22.91
NFE2L3,17.46,9.05,10.11,28.92,6.8,31.72,54.51
MCUR1,7.67,6.91,8.85,11.12,9.38,7.3,6.62
LIMA1,44.33,33.42,12.89,91.32,5.9,26.73,37.08
LETMD1,62.51,27,31.68,58.34,52.84,33.87,68.64
SLC4A8,3.08,1.6,0.04,0.02,5.98,2.6,6.35
LAMC3,0.07,1.3,0.22,0,0.06,2.58,0.37
PTGER3,0.03,0.02,0.01,0,0.49,0.02,0.01
TNIP3,0.05,0.29,0,0,0.03,0,0.05
MAPK9,20.18,29.34,19.49,19.75,38.67,16.05,41.57
COL23A1,0.01,0,0,0,0.25,0.01,0.12
BCAR1,27.13,18.32,50.46,55.66,39.07,17.29,55
FAM160A2,7.88,8.35,6.53,41.61,9.45,8.74,19.72
HERPUD1,38.47,44.96,84.9,45.37,37.72,23.37,31.42
HOMER3,54.5,17.65,18.23,2.34,22.79,50.59,17.22
RAD51,22.31,15.93,12.58,21.05,14.54,13.65,25.81
POLQ,6.28,8.47,3.72,8.57,6,4.66,8.05
PIK3CB,29.35,21.05,17.04,22.07,21.86,7.72,31.38
CYBA,100.53,87.45,297.87,405.45,585.11,0.34,508.13
THOC3,46.6,65.86,54.44,65,116.57,100.31,94.76
HEBP2,3.35,6.65,20.67,37.33,18.77,15.23,28.01
MPHOSPH9,22.38,25.54,9.83,18,20.72,9.69,18.13
PLEKHA5,14.4,8.95,6.81,15.66,4.77,6.63,8.2
PRSS8,0.33,0.32,3.36,54.05,73.67,14.64,80.67
SIKE1,49.23,12.55,21.27,31.5,113.29,16.26,23.01
RRP12,61.09,30,17.58,23.89,28.96,14.95,19.96
FNIP2,2.93,1.92,10.95,7.3,1.3,0.93,8.33
MSMO1,13.45,33.3,87.23,27.21,38.9,21.57,78.14
TTC17,41.09,30.25,20.75,45.89,23.71,23.59,56.06
ALX4,0.78,0.42,0.01,0,0.08,0.02,0.09
FSTL4,0,0.22,2.67,0.11,1.36,0.83,0.33
FOXN3,5.94,2.13,31.98,3.3,2.75,4.19,6.82
METTL24,0,0,0,0,0,0.04,0
AKR7A2,40.85,17.72,38.21,59.84,39.54,20.94,34.19
MRTO4,62.27,50.83,30.24,59.37,34.74,50.21,27.7
NNAT,0.83,0.73,0.94,2.6,1.16,1.62,2.68
USE1,136.16,12.77,13.77,25.61,20.39,32.03,30.88
MCF2L2,0.28,0.08,0.05,0.06,0.14,0.65,1.08
NRIP2,0.73,0.4,0.3,1.86,0.68,0.18,0.55
LAMA3,0.43,14.02,0.67,5.4,8.33,113.38,185.19
AP5M1,10.12,20.41,10.42,11.95,20.82,21.03,33.37
ANAPC4,21.43,16.95,9.9,15.49,15.03,9.25,14.9
KCNQ1,0.01,0.05,0.02,10.79,0.09,0.06,3.46
TRAPPC3,63.68,64.46,37.46,63.78,52.84,97.2,95.04
THRAP3,85.4,48.8,53.11,72.91,55.97,34.93,72.86
PHPT1,85.51,137.12,150.59,113.35,193.55,59.24,113.05
ENTPD2,0.04,0.4,21.61,6.02,5.42,1.6,3.83
LY75,0.02,0.11,0.04,19,0.01,0.06,29.23
ARID4B,16.48,13.28,7.08,12.38,13.36,3.81,19.96
OPN3,2.6,50.12,8.58,5.37,3.1,21.54,9.34
SDCCAG8,18.28,32.29,3.85,6.79,9.96,92.17,19.34
PTPRN,0.59,0.45,0,0.01,0.06,0.17,0.15
HHAT,3.2,2.48,2.32,0.4,1.89,1.15,3.14
KIF1B,15.54,10.21,15.56,10.22,10.92,6.36,9.27
FOXC1,5.6,1.54,0.82,2.45,3.17,1.16,22.93
TBC1D22A,13.2,5.06,15.18,10.95,8.16,5.47,17.46
SYNE2,5.45,6.81,5.2,24.59,19.79,10.1,38.52
PLEKHH1,6.23,1.68,4.07,9.29,16.27,4.52,13.56
ATP9A,11.78,9.05,10.79,39.93,33.24,6.84,46.9
SPO11,0,0,0,0,0,0,0
CBLN4,0,0,0,0,0.01,0,0
CHRDL2,0,0.93,0.35,0,0.07,0.04,0
FAM168A,20.03,9.32,9.04,7.49,20.92,9.74,18.21
RELT,13.63,4.93,3.06,5.73,7.05,9.4,8.34
GALC,5.94,13.93,0.07,0.01,10.96,0.42,9.11
NOP58,120.23,151.92,90.89,103.65,104.41,74.48,84.53
SZRD1,102.75,58.81,45.92,87.71,95.31,63.45,68.1
KCNH2,0.04,0.45,0.06,1.62,0.84,0.19,14.82
CUL1,46.43,56.9,31.69,48.94,27.31,41.3,49.11
FAM114A2,16.51,18.64,4.86,7.18,12.4,6.32,9.97
CYFIP2,5.89,16.29,19.29,5.34,4.34,9.24,2.96
TAB2,19.81,20.84,21.96,21.57,20.01,13.64,35.57
GINM1,12.79,25.76,16.81,14.01,36.17,15.97,32.27
EIF2AK2,27.12,23.42,10.43,12.44,9.3,8.88,34.34
USP36,23.17,27.84,29.59,31.59,25.04,21.23,28.53
KMT2C,21.7,6.02,5.32,15.37,12.47,4.07,18.4
MCOLN3,2.82,1.56,0.01,0.04,1.66,1.61,3.86
CCDC85A,0,0.04,0,0.02,0.25,0.43,0.04
PUM2,37.03,45.93,33.91,37.02,36.37,18.84,44.96
MRPL43,96.02,77.17,55.17,82.88,90.27,44.37,116.85
ITIH4,1.2,0.16,0.87,0.16,0.43,0.47,0.5
ITIH1,0,0.01,7.32,0,0,0.04,0
HPF1,18.33,36.22,8.85,8.13,11.9,12.48,18.16
ZFR,61.47,72.39,41.05,40.41,41.3,32.18,44.49
ZNF280C,2.4,4.24,0.97,1.97,2.61,1.45,4.29
NPFFR2,0.53,0,0.02,0,0.02,0,0
PHF21B,1.04,0.15,0,0.02,1.02,0.04,0.85
TRAF1,37.15,3.23,0.19,0.48,0.24,0.05,2.43
RC3H2,18.26,13.5,10.85,13.48,15.94,6.66,29.12
IL17RB,0.72,1.59,70.49,11.42,2.63,1.59,2.68
TRAF3IP2,18.39,6.94,5.73,7.95,24.35,6.77,26.89
GYG2,0.03,6.91,18.92,0.38,2.29,0.08,8.69
DCBLD2,113.01,160.69,15.88,34.82,2.73,102.11,226.28
SERPINB3,0,0.04,0,0.04,0,0.1,0.02
SOAT1,31.23,31.27,19.33,1.38,2.02,13.81,22.88
PKP2,0.27,3.52,13.18,18.24,4.18,5.18,20.4
MSH4,0,0.01,0.01,0,0.01,0.01,0
F7,0,0.13,21.45,0.06,1.16,0,0.13
GDI2,140.58,212.4,159.06,184.1,191.95,67.28,144.09
PRDM1,0.48,2.05,0.01,0.12,0.05,0.44,1.18
ATG5,10.15,17.83,9.01,15.62,13.6,14.19,20.71
TMCC3,1.75,0.47,0.01,2.63,0.17,3.05,2.33
PITHD1,33.88,30.77,26.54,60.31,29.52,36.27,36.17
MTA3,24.03,38.58,44.81,26.47,37.45,12.56,20.57
USP13,9.19,6.54,10.55,2.6,11.47,5.21,4.69
ATP11B,15.09,9.58,4.9,13.93,5.62,9.59,27.69
LAMC2,0.77,42.29,0.05,4.51,1.7,106.1,66.47
CDK14,11.61,0.06,0.27,0.09,0.17,4.33,0.32
SEC61A1,162.05,100.35,139.9,142.84,135.25,132.02,128.23
PPP1R12A,32.14,34.12,14.33,22.35,30.56,13.89,44.27
RASGRF1,0.28,0.17,0.43,0.61,0.02,0,5.19
CAMK2B,0.04,0.05,0.14,0.42,2.99,0.3,1.9
CROCC,12.49,3.08,3.25,7.23,10.43,5.8,10.43
POLR3E,43.27,22.89,63.7,44.9,28.17,18.98,23.2
ATP2B4,40.99,7.6,5.77,7.24,18.17,18.58,16.73
ZC3H11A,64.08,44.07,31.36,67.66,65.85,38.96,57.92
RIOK2,13.5,18.99,8.82,7.84,12.8,8.59,12.58
YIPF1,16.98,16.39,12.21,9.97,13.37,16.18,22.14
NDC1,38.32,33.46,16.92,28.12,16.92,48.44,20.24
DGKG,8.56,12.82,4.04,0.19,0.01,0.62,3.87
FLYWCH1,18.42,9.56,6.59,8.16,14.7,6.07,9.62
UNKL,14.67,14.72,9.15,13.74,16.56,5.67,3.43
TBXAS1,10.61,3.9,3.32,17.79,1.09,16.92,56
PARP12,10.17,7.28,6.28,11.45,4.23,10.58,50.59
ALDH18A1,69.31,47.09,130.75,96.35,61.99,28.98,63.4
TARBP1,22.17,18.01,19.73,30.85,20.84,10.76,26.35
GATB,14.09,11.12,24.75,12.13,8.45,12.69,8.31
MXD1,3.62,2.37,2.98,8.78,9.75,2.33,2.37
CDK17,8.73,14.46,5.74,4.66,8.32,7.53,13.91
DNAJC25,12.08,14.42,10.65,6.82,7.61,6.52,18.51
SLC2A3,24.12,9.52,119.42,0.11,0.27,0.1,7.1
PSD,1.38,0.35,1.02,1.23,4.24,0.6,1.58
CTDP1,8.6,6.81,7.75,10,5.54,9.93,8.41
YBX3,175.73,160.38,76.28,184.92,87.03,46.36,94.36
STYK1,1.31,0.18,0,10.21,0.93,3.04,6.03
WNK1,53.67,54.85,29.3,38.76,33.12,12.01,32.74
RPS17P5,0.14,0,0.11,0,0.1,0,0.18
CCAR1,49.71,71.9,40.1,53.73,51.54,47.81,77.79
OGFR,48.43,14.69,54.29,38.69,56.1,24.43,56.07
GNA15,0.12,0.03,0.03,5.02,0,0.05,11.67
CREB3L3,0.22,0.09,12.21,0.02,0,0.05,1.03
PIGV,9.72,6.31,9.82,14.27,9.61,7.95,14.23
PTPRU,4.29,4.3,25.26,0.07,15.18,10.65,62.02
SNRNP40,67.79,47.65,48.08,70.4,33.89,47.77,39.4
RIMBP2,0,0.07,0,0.82,0.01,0,0.04
COL11A1,0.26,4,0.01,0.03,0.01,0.05,0.31
QSER1,16.47,15.81,6.86,13.27,6.47,6.94,13.83
MPC1,26.23,4.59,123.08,32.79,21.89,7.59,27.94
ACAA1,34.33,29.2,88.29,73.09,51.19,92.76,31.03
BCAT1,20.34,12.58,11.52,0.08,0.12,0.12,57.94
HDAC7,24.94,26.36,7.47,40.63,10.06,27.88,51.54
LZTS1,6.54,0.09,0.03,0.03,0.02,0.01,1.54
PRDM6,0.12,0.02,0.05,0.01,1.8,0.01,0
WNT8A,0,0,0.05,0,0.02,0,0
SPAG4,4.17,1.65,10.96,18.37,4.31,9.16,14.49
NCKAP1,38.57,114.96,42.04,54.06,40.7,47.23,73.02
MRPS35,63.03,146.32,57.89,106.03,40.52,66.41,54.19
GUCY1B1,0,0.31,0.02,0.01,0.04,1.39,5.09
SFSWAP,42.25,15.43,24.11,24.85,22.79,22.04,21.19
TNK2,16.56,3.88,5.31,76.92,19.74,18.74,31.63
MON2,13.04,19.37,8.52,6.93,22.96,7.11,12.71
CDH3,0.4,0.39,0.07,2.98,27.24,42.08,28.72
ARSF,0,0,0,0,0,0,0
GPBP1,37.72,34.17,23.12,40.46,41.78,18.18,74.88
DGAT2,2.99,2.26,30.24,13.01,10.14,17.1,9.27
ZNF112,3.03,2.61,1.43,1.29,0.91,1.27,1.87
CS,137.35,130.31,164.12,148.31,134.29,90.05,100.22
LTK,0.28,0.02,0,0.15,0.03,0.09,0.57
MRPS24,165.7,181.81,124.93,162.2,113.7,229.29,135.75
ELMO2,24.43,18,21.07,24.35,21.78,14.4,37.25
WAPL,26.6,15.74,17.14,23.21,20.69,10.49,36.98
VMP1,155.72,277.63,126.08,142.2,458.92,124.77,357.28
APPBP2,11.61,16.92,10.38,7.47,170.02,11.09,27.11
